build time	recall	latency	build time	recall	latency	build time	recall	latency	build time	recall	latency
3.2404	0.3918	0.2799	39.0543	0.869	0.1775	116.8217	0.9506	1.8531	115.7571	0.9506	2.3261
3.2404	0.3918	0.2645	12.4577	0.8717	0.2268	65.4904	0.9528	1.6967	66.2984	0.9528	2.4145
3.2404	0.3918	0.2531	9.7281	0.8722	0.2372	30.4446	0.9537	1.8427	31.153	0.9537	2.9728
3.2404	0.3918	0.2412	27.0219	0.8726	0.2047	15.8576	0.954	2.0542	42.4312	0.954	3.5231
3.2404	0.3918	0.236	21.633	0.8731	0.4972	72.7745	0.9546	1.6861	71.9609	0.9546	1.6121
2.9654	0.3928	0.294	28.8327	0.8738	0.2296	124.5	0.9547	1.921	124.9989	0.9547	2.4038
2.9654	0.3928	0.2855	16.2124	0.8743	0.5536	136.0968	0.9574	1.8846	137.9041	0.9574	2.4586
3.0139	0.3929	0.2802	26.5093	0.8759	0.4847	149.0369	0.9599	2.2508	152.9462	0.9599	2.6204
3.0139	0.3929	0.2628	28.877	0.8767	0.2183	36.6318	0.9604	1.9059	38.3098	0.9604	3.1309
3.0139	0.3929	0.2449	12.4577	0.8823	0.244	85.3097	0.9607	1.7528	86.7116	0.9607	2.6311
3.1887	0.393	0.3206	26.5093	0.8839	0.5285	9.6507	0.9619	2.9169	13.4644	0.9619	5.0283
3.1887	0.393	0.282	21.633	0.884	0.5705	161.902	0.9625	2.3819	167.1864	0.9625	2.6141
2.9693	0.3935	0.2438	25.2852	0.8856	0.1994	22.6043	0.9639	2.3397	23.945	0.9639	3.8433
3.1886	0.3954	0.3379	9.7281	0.8889	0.2722	43.9829	0.9643	2.0579	44.621	0.9643	3.1821
2.8089	0.3957	0.2915	34.4478	0.889	0.2246	178.6494	0.9646	2.4598	176.9152	0.9646	2.7213
2.8089	0.3957	0.2613	24.1458	0.8891	0.2204	99.5256	0.9647	1.9075	98.2151	0.9647	2.7227
2.8089	0.3957	0.2632	38.9931	0.8903	0.1887	190.0264	0.9664	2.3417	193.5411	0.9664	2.9228
3.2404	0.3973	0.2298	18.9386	0.8906	0.2421	116.8217	0.9665	2.3049	115.7571	0.9665	2.9524
2.8721	0.3996	0.2864	23.1063	0.8915	0.2624	205.4182	0.9681	2.1988	250.2741	0.9681	2.9852
2.8721	0.3996	0.2612	27.599	0.8919	0.2257	50.0796	0.9685	2.3235	52.3572	0.9685	3.3019
2.8721	0.3996	0.2654	21.633	0.8923	0.6408	215.9778	0.969	2.3898	351.4012	0.969	3.112
2.703	0.3998	0.2985	26.5093	0.8959	0.6204	124.5	0.9697	2.3437	124.9989	0.9697	3.0731
2.703	0.3998	0.2634	41.6557	0.8977	0.2405	30.4446	0.9702	2.4425	31.153	0.9702	3.8003
2.703	0.3998	0.2586	12.4577	0.9001	0.278	57.9609	0.9708	2.195	58.5044	0.9708	3.5132
2.9241	0.4036	0.2883	20.9279	0.9011	0.2771	136.0968	0.9714	2.3138	137.9041	0.9714	3.0955
2.9241	0.4036	0.271	49.2629	0.9022	0.2815	149.0369	0.9732	2.688	152.9462	0.9732	3.2977
2.9241	0.4036	0.2567	21.633	0.9029	0.7564	65.4904	0.9735	2.3982	66.2984	0.9735	3.4452
2.9977	0.4044	0.2974	26.5093	0.9051	0.716	36.6318	0.9744	2.5322	38.3098	0.9744	3.9966
2.9977	0.4044	0.2577	45.2008	0.9063	0.2744	161.902	0.9747	3.0723	167.1864	0.9747	3.2103
2.9977	0.4044	0.2563	27.0219	0.9067	0.2537	72.7745	0.9754	2.3369	71.9609	0.9754	2.2384
2.5312	0.4113	0.4725	28.8327	0.9084	0.2754	15.8576	0.976	3.0017	42.4312	0.976	5.0453
2.5312	0.4113	0.4623	25.2852	0.9101	0.2372	178.6494	0.9766	3.0015	176.9152	0.9766	3.4093
2.5312	0.4113	0.4371	28.877	0.9104	0.2668	9.6507	0.9774	3.9239	13.4644	0.9774	6.5039
2.4779	0.414	0.4685	46.739	0.9108	0.2358	43.9829	0.9774	2.5648	44.621	0.9774	4.0836
2.4779	0.414	0.4619	26.5093	0.9133	0.8184	190.0264	0.9777	2.814	193.5411	0.9777	3.6137
2.4779	0.414	0.4503	24.1458	0.9142	0.2607	85.3097	0.9786	2.492	86.7116	0.9786	3.9122
2.4437	0.4171	0.4684	12.4577	0.9149	0.3129	205.4182	0.9786	2.726	250.2741	0.9786	3.6619
2.4437	0.4171	0.4937	18.9386	0.9157	0.2973	50.0796	0.9798	2.8191	52.3572	0.9798	4.3254
2.4437	0.4171	0.4529	27.599	0.9161	0.2627	215.9778	0.9799	2.9969	351.4012	0.9799	3.8675
2.9092	0.4222	0.3115	34.9239	0.9165	0.2247	99.5256	0.9809	2.6649	98.2151	0.9809	3.9429
2.9092	0.4222	0.2817	39.0543	0.9169	0.2435	22.6043	0.9819	3.4684	23.945	0.9819	5.5714
3.1154	0.4234	0.3123	34.4478	0.9197	0.2826	57.9609	0.9819	2.8102	58.5044	0.9819	4.4411
3.1154	0.4234	0.275	26.5093	0.9222	0.9855	116.8217	0.9826	3.2497	115.7571	0.9826	4.3697
3.17	0.4257	0.3005	18.9386	0.9245	0.3235	65.4904	0.9837	3.0597	66.2984	0.9837	4.4763
3.17	0.4257	0.2792	12.4577	0.9258	0.3476	124.5	0.9841	3.3303	124.9989	0.9841	4.3287
3.0637	0.4295	0.3241	23.1063	0.9261	0.333	72.7745	0.9848	2.9446	71.9609	0.9848	2.9526
3.0637	0.4295	0.285	20.9279	0.9263	0.3337	136.0968	0.985	3.2173	137.9041	0.985	4.4652
3.3452	0.4305	0.5186	28.8327	0.9291	0.3197	30.4446	0.9852	3.5779	31.153	0.9852	5.6258
2.5792	0.4318	0.2447	52.2209	0.9292	0.2849	15.8576	0.9858	3.9381	42.4312	0.9858	6.918
2.901	0.432	0.5059	27.0219	0.9299	0.2998	149.0369	0.9865	3.8381	152.9462	0.9865	4.661
2.7065	0.4323	0.2289	18.9386	0.9322	0.3498	161.902	0.9869	4.4677	167.1864	0.9869	4.6584
3.3886	0.4326	0.3249	28.877	0.9325	0.3157	85.3097	0.9871	3.1169	86.7116	0.9871	4.8236
3.3886	0.4326	0.2994	58.3344	0.9332	0.3173	36.6318	0.9874	3.6527	38.3098	0.9874	5.8195
3.1883	0.4343	0.309	38.9931	0.9337	0.2475	178.6494	0.9876	4.3496	176.9152	0.9876	4.9835
3.1883	0.4343	0.2833	54.2064	0.9356	0.2637	99.5256	0.9885	3.3625	98.2151	0.9885	4.8587
3.1887	0.4352	0.5307	20.9279	0.9358	0.3607	190.0264	0.9886	3.8675	193.5411	0.9886	5.3036
2.7065	0.4367	0.4961	55.4476	0.9369	0.2657	43.9829	0.9893	3.8206	44.621	0.9893	6.3015
2.7065	0.4367	0.4753	25.2852	0.9382	0.3142	205.4182	0.9894	3.6102	250.2741	0.9894	5.3198
2.4762	0.4379	0.4538	12.4577	0.9382	0.3979	116.8217	0.9897	4.1437	115.7571	0.9897	5.5784
2.4762	0.4379	0.461	34.4478	0.9383	0.3398	22.6043	0.9898	4.4686	23.945	0.9898	7.5417
2.4762	0.4379	0.4509	41.6557	0.9397	0.3208	50.0796	0.99	4.0899	52.3572	0.99	6.1907
2.6821	0.438	0.2447	39.0543	0.9406	0.3081	215.9778	0.9903	3.9104	351.4012	0.9903	5.554
2.5792	0.4397	0.4812	49.2629	0.9417	0.3704	124.5	0.9904	4.2427	124.9989	0.9904	5.6901
2.5792	0.4397	0.4519	34.9239	0.9431	0.2747	9.6507	0.9906	5.9623	13.4644	0.9906	10.0804
3.1941	0.4408	0.311	20.9279	0.9435	0.3891	136.0968	0.9911	3.9868	137.9041	0.9911	5.7655
3.1941	0.4408	0.2789	55.8681	0.9435	0.2935	30.4446	0.9914	4.6728	31.153	0.9914	7.631
2.7606	0.4425	0.5139	24.1458	0.944	0.3405	57.9609	0.9918	4.1054	58.5044	0.9918	6.7114
3.4931	0.4429	0.3058	18.9386	0.9443	0.4029	65.4904	0.992	4.3747	66.2984	0.992	6.7723
3.4931	0.4429	0.2882	45.2008	0.9446	0.3678	149.0369	0.9921	4.8335	152.9462	0.9921	6.036
3.3264	0.4431	0.3097	27.599	0.9448	0.3323	161.902	0.9924	5.5845	167.1864	0.9924	5.9158
3.3264	0.4431	0.2751	62.6944	0.9449	0.3718	72.7745	0.9928	4.2972	71.9609	0.9928	4.3614
3.5159	0.4435	0.3286	23.1063	0.946	0.4022	36.6318	0.993	4.7155	38.3098	0.993	7.525
3.2654	0.4436	0.3395	76.9343	0.9472	0.3935	178.6494	0.993	5.3284	176.9152	0.993	6.2567
2.4447	0.4438	0.4913	46.739	0.948	0.3188	190.0264	0.9931	4.8575	193.5411	0.9931	6.6625
2.4447	0.4438	0.4697	59.8308	0.9523	0.3111	43.9829	0.9938	4.7541	44.621	0.9938	8.1623
2.4447	0.4438	0.4555	18.9386	0.953	0.455	85.3097	0.994	4.5559	86.7116	0.994	7.1272
2.6378	0.4459	0.4635	23.1063	0.9539	0.4375	205.4182	0.994	4.5588	250.2741	0.994	6.8469
2.6378	0.4459	0.4422	25.2852	0.9545	0.3899	15.8576	0.9941	5.7692	42.4312	0.9941	10.2442
2.6378	0.4459	0.4321	28.8327	0.9547	0.4058	215.9778	0.9943	4.7864	351.4012	0.9943	6.874
2.6821	0.4461	0.4668	20.9279	0.9548	0.4423	50.0796	0.9946	5.2797	52.3572	0.9946	8.0887
2.6821	0.4461	0.4688	27.0219	0.9555	0.3898	99.5256	0.9946	4.8757	98.2151	0.9946	7.39
3.3719	0.4482	0.2953	39.0543	0.9557	0.3739	116.8217	0.9953	5.9314	115.7571	0.9953	7.9856
3.3719	0.4482	0.2776	38.9931	0.9566	0.3106	57.9609	0.9954	5.326	58.5044	0.9954	8.4871
3.3719	0.4482	0.2556	28.877	0.9577	0.3968	9.6507	0.9955	8.1392	13.4644	0.9955	12.9847
2.532	0.4486	0.4585	18.9386	0.959	0.5078	65.4904	0.9955	5.5436	66.2984	0.9955	8.4767
2.532	0.4486	0.4492	34.9239	0.9592	0.3261	124.5	0.9957	6.0093	124.9989	0.9957	8.1918
2.532	0.4486	0.4456	23.1063	0.9597	0.4705	22.6043	0.9958	6.7883	23.945	0.9958	10.6352
3.7983	0.4496	0.3653	69.1158	0.9597	0.3265	72.7745	0.9958	5.4177	71.9609	0.9958	5.5896
2.8771	0.4498	0.5209	34.4478	0.9598	0.4514	136.0968	0.9962	5.7739	137.9041	0.9962	8.362
2.6079	0.4501	0.457	25.2852	0.9602	0.428	30.4446	0.9963	6.7995	31.153	0.9963	11.1971
2.6079	0.4501	0.4673	41.6557	0.9605	0.3998	149.0369	0.9965	6.9451	152.9462	0.9965	8.8569
2.6079	0.4501	0.4577	24.1458	0.9608	0.4183	161.902	0.9966	7.9947	167.1864	0.9966	8.6669
2.9654	0.4507	0.5038	27.599	0.9614	0.4007	85.3097	0.9967	5.7299	86.7116	0.9967	9.2832
2.6827	0.4512	0.4542	49.2629	0.9615	0.4569	99.5256	0.9969	6.0576	98.2151	0.9969	9.428
2.6827	0.4512	0.4642	52.2209	0.9617	0.3895	178.6494	0.9969	7.5762	176.9152	0.9969	9.4125
2.6827	0.4512	0.4484	58.3344	0.9623	0.4198	190.0264	0.9969	6.8508	193.5411	0.9969	9.5446
4.1563	0.4521	0.3637	20.9279	0.9636	0.4953	15.8576	0.997	7.6741	42.4312	0.997	13.3489
2.703	0.4527	0.2456	45.2008	0.9639	0.4586	36.6318	0.9972	6.7894	38.3098	0.9972	11.1899
3.3401	0.4534	0.3258	74.32	0.964	0.4204	116.8217	0.9973	7.5526	115.7571	0.9973	10.4202
3.3401	0.4534	0.2931	76.811	0.9644	0.4506	205.4182	0.9973	6.5331	250.2741	0.9973	9.6538
3.5081	0.454	0.3335	25.2852	0.9647	0.466	215.9778	0.9974	6.8761	351.4012	0.9974	10.0266
3.0139	0.4541	0.2501	54.2064	0.9659	0.3637	43.9829	0.9975	7.0187	44.621	0.9975	11.4422
3.8048	0.4547	0.3389	55.4476	0.9664	0.36	124.5	0.9975	7.7229	124.9989	0.9975	10.3943
3.5464	0.4558	0.2625	18.9386	0.9666	0.5851	50.0796	0.9978	7.7738	52.3572	0.9978	11.9683
3.5464	0.4558	0.2341	24.1458	0.9666	0.4575	136.0968	0.9978	7.2863	137.9041	0.9978	10.4174
2.8089	0.4562	0.2537	27.599	0.9667	0.4325	149.0369	0.9979	8.7391	152.9462	0.9979	11.3781
2.8721	0.4565	0.2512	46.739	0.9676	0.403	22.6043	0.998	8.5683	23.945	0.998	14.2062
3.75	0.457	0.3283	23.1063	0.9683	0.5359	161.902	0.998	10.5193	167.1864	0.998	11.3697
3.75	0.457	0.2985	28.8327	0.9683	0.4877	57.9609	0.9981	7.9654	58.5044	0.9981	12.1542
2.9977	0.4575	0.2461	27.0219	0.9697	0.4769	65.4904	0.9981	8.1221	66.2984	0.9981	12.7545
2.9241	0.4592	0.2549	20.9279	0.9698	0.5481	178.6494	0.9981	9.5606	176.9152	0.9981	11.6666
2.5792	0.4601	0.2437	38.9931	0.9698	0.3708	30.4446	0.9982	8.7535	31.153	0.9982	14.0599
2.7065	0.4635	0.245	55.8681	0.9699	0.4012	72.7745	0.9983	7.9559	71.9609	0.9983	8.3081
2.6821	0.4656	0.2501	24.1458	0.9707	0.4942	190.0264	0.9983	8.7782	193.5411	0.9983	12.1245
